section,metric,unit,period,value,method_source,source_sheet
REVENUE BY CHAIN,AVAKids Revenue,VND bn,2030E,2870.4886220224726,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,2025A,-272.0,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,3M2026A,978.0,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,5M2026A,-225.9866666666785,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,2026E,4710.0,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,2027E,5086.8,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,2028E,5392.008000000001,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,2029E,5661.608400000001,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Other / Unallocated / Rounding,VND bn,2030E,5888.072736000001,Residual / unallocated,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,2025A,0.0,,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,3M2026A,0.0,,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,5M2026A,0.0,,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,2026E,0.0,,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,2027E,0.0,,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,2028E,0.0,,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,2029E,0.0,,07_Revenue_Drivers
REVENUE BY CHAIN,Revenue Check: Segment Sum - Total Revenue,VND bn,2030E,0.0,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,TGDD / TopZone Growth,%,2025A,0.2433333333333334,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,TGDD / TopZone Growth,%,5M2026A,0.1460016085790885,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,TGDD / TopZone Growth,%,2026E,0.05431487312176553,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,TGDD / TopZone Growth,%,2027E,0.040000000000000036,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,TGDD / TopZone Growth,%,2028E,0.030000000000000027,,07_Revenue_Drivers
